"id";"name";"discrimination";"difficulty";"guessing";"inattention";"answer"
"1";"b4";1.19545;-2.53545;0.125;1;2
"2";"b3";1.19545;-2.10004;0.125;1;4
"3";"d1";1.19545;-1.88366;0.125;1;4
"4";"a6";1.19545;-1.7324;0.125;1;2
"5";"d6";1.19545;-1.48784;0.125;1;2
"6";"d2";1.19545;-1.37222;0.125;1;2
"7";"d3";1.19545;-1.3119;0.125;1;3
"8";"e1";1.19545;-1.2799;0.125;1;3
"9";"c2";1.19545;-1.25768;0.125;1;5
"10";"c3";1.19545;-1.17239;0.125;1;7
"11";"b1";1.19545;-1.02021;0.125;1;7
"12";"c6";1.19545;-0.768;0.125;1;8
"13";"e2";1.19545;-0.73559;0.125;1;8
"14";"d4";1.19545;-0.36884;0.125;1;6
"15";"e4";1.19545;-0.16733;0.125;1;1
"16";"e3";1.19545;0.311412;0.125;1;6
"17";"c5";1.19545;0.325874;0.125;1;1
"18";"e6";1.19545;0.426895;0.125;1;4
"19";"e5";1.19545;0.50544;0.125;1;3
"20";"d5";1.19545;0.597275;0.125;1;7
"21";"f6";1.19545;0.978785;0.125;1;1
"22";"f11";1.19545;1.08122;0.125;1;2
"23";"f14";1.19545;1.23646;0.125;1;2
"24";"f12";1.19545;1.53597;0.125;1;5
"25";"f10";1.19545;1.54444;0.125;1;3
"26";"f7";1.19545;1.81184;0.125;1;5
